ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,Label
Anwell,1.951671429,1.94699852,0.560169045,-1.533668815,-0.470870956,-0.470870956,0,1.019222215,1.458149916,-1.061947939,-0.333333333,0,-0.333333333,1.271228591,-0.766064266,-0.945858028,0.174553279,-0.487950036,-0.625768136,-0.622543017,-0.481543412,-0.333333333,2.288585537,-0.5,-0.571428571,1
Goldtron,-1.746232331,-1.753292035,-0.757875767,1.176428689,-0.470870956,-0.470870956,0,-0.144273464,-0.622117797,-0.875641283,-0.333333333,0,-0.333333333,-1.53677977,-0.766064266,-0.945858028,2.668171548,-0.487950036,-0.625768136,2.144314838,-0.481543412,-0.333333333,-0.696526033,-0.5,-0.571428571,1
Centillion ,-1.052875376,-0.908930432,1.548702655,0.893100314,-0.470870956,-0.470870956,0,1.856939103,-0.720243633,-1.061947939,-0.333333333,0,-0.333333333,-0.599300825,-0.766064266,-0.945858028,-0.822894029,-0.487950036,-0.625768136,-0.622543017,-0.481543412,-0.333333333,-0.696526033,-0.5,-0.571428571,1
Keda,0.616317293,0.655621951,1.219191452,0.375718063,2.892493014,2.892493014,0,-0.004653983,1.183397577,0.801118621,3,0,3,0.089112284,1.991767092,1.641104099,0.324170375,-0.487950036,1.080872236,-0.622543017,2.528102915,-0.333333333,0.298511157,2,1.571428571,1
IPCO,-0.539277632,-0.610920454,-1.08738697,1.077879689,-0.470870956,-0.470870956,0,-0.470052254,-0.523991962,1.732651901,-0.333333333,0,-0.333333333,1.912714183,-0.766064266,-0.945858028,-0.822894029,2.439750182,2.218632484,-0.622543017,-0.481543412,3,-0.696526033,-0.5,2.285714286,1
RSH,0.92447594,0.978466093,1.219191452,0.535860188,0.201801838,0.201801838,0,-0.144273464,1.203022744,0.614811965,-0.333333333,0,-0.333333333,0.045613261,-0.766064266,1.721946666,-0.074808548,1.463850109,-0.625768136,1.452600374,-0.481543412,-0.333333333,1.293548347,-0.5,0.142857143,1
Sincere,-0.205439098,-0.188739652,-0.098853361,0.486585688,-0.470870956,-0.470870956,0,0.134965499,0.967520738,0.987425277,-0.333333333,0,-0.333333333,0.319035692,1.072489973,0.832678435,0.024936183,-0.487950036,1.080872236,-0.622543017,1.324244384,-0.333333333,-0.696526033,2,-0.571428571,1
C&G,-0.410878196,-0.48674963,-1.08738697,-0.979330689,-0.470870956,-0.470870956,0,-1.587008106,-1.053871474,0.614811965,-0.333333333,0,-0.333333333,-0.2779509,-0.766064266,-0.137432363,0.174553279,-0.487950036,-0.625768136,-0.622543017,-0.481543412,-0.333333333,-0.696526033,-0.5,-0.571428571,0
OLAM,0.539277632,0.506616962,-0.428364564,-1.57062469,-0.470870956,-0.470870956,0,-1.447388624,-1.014621139,-0.689334627,-0.333333333,0,-0.333333333,-1.342212711,1.072489973,-0.056589797,-0.822894029,-0.487950036,-0.625768136,0.76088591,-0.481543412,-0.333333333,-0.696526033,-0.5,-0.571428571,0
M1,-0.077039662,-0.139071323,-1.08738697,-0.461948438,0.201801838,0.201801838,0,0.786523079,-0.87724497,-1.061947939,-0.333333333,0,-0.333333333,0.118540195,0.45963856,-0.218274929,-0.822894029,-0.487950036,-0.625768136,-0.622543017,-0.481543412,-0.333333333,0.298511157,-0.5,-0.571428571,0
