ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,Label
company01,-0.082651486,-0.000173193,0.329768972,-0.804749132,0.047429935,0.047429935,0,0.474899539,0.860443336,-0.084618581,-0.013530502,0,-0.013530502,0.218166407,-0.178861172,0.119132709,0.074158418,-0.069025759,-0.166353664,-0.113264614,-0.093238575,-0.037774307,0.382528782,-0.123882576,-0.079184323,1
company02,0.073951329,0.000155962,-0.446158021,0.617297527,0.047429935,0.047429935,0,-0.067223222,-0.367107049,-0.069773216,-0.013530502,0,-0.013530502,-0.263739915,0.3045474,0.119132709,1.133564386,-0.069025759,-0.166353664,0.39013367,-0.093238575,-0.037774307,-0.116421803,-0.123882576,-0.079184323,1
company03,0.044588302,8.09E-05,0.911714218,0.468629013,0.047429935,0.047429935,0,0.865227927,-0.425010369,-0.084618581,-0.013530502,0,-0.013530502,-0.102851138,0.070899924,0.119132709,-0.34960397,-0.069025759,-0.166353664,-0.113264614,-0.093238575,-0.037774307,-0.116421803,-0.123882576,-0.079184323,1
company04,-0.026100469,-5.83E-05,0.71773247,0.197147378,-0.291355312,-0.291355312,0,-0.002168491,0.69831404,0.06383507,0.121774515,0,0.121774515,0.015293321,-0.150662338,-0.206700341,0.137722776,-0.069025759,0.287338147,-0.113264614,0.489502521,-0.037774307,0.049895059,0.495530304,0.217756889,1
company05,0.022837911,5.43E-05,-0.64013977,0.565586739,0.047429935,0.047429935,0,-0.219017595,-0.309203729,0.138061895,-0.013530502,0,-0.013530502,0.328257234,0.526109662,0.119132709,-0.34960397,0.345128793,0.589799354,-0.113264614,-0.093238575,0.339968766,-0.116421803,-0.123882576,0.316737294,1
company06,-0.039150704,-8.70E-05,0.71773247,0.281177407,-0.020327115,-0.020327115,0,-0.067223222,0.709894704,0.048989705,-0.013530502,0,-0.013530502,0.007828082,-0.082179457,-0.216882624,-0.031782179,0.207077276,-0.166353664,0.264284099,-0.093238575,-0.037774307,0.21621192,-0.123882576,0.019796081,1
company07,0.008700156,1.68E-05,-0.058194525,0.255322014,0.047429935,0.047429935,0,0.06288624,0.570926736,0.078680435,-0.013530502,0,-0.013530502,0.054752443,-0.170804362,-0.104877513,0.01059406,-0.069025759,0.287338147,-0.113264614,0.256406082,-0.037774307,-0.116421803,0.495530304,-0.079184323,1
company08,0.017400313,4.33E-05,-0.64013977,-0.513875952,0.047429935,0.047429935,0,-0.739455446,-0.621881658,0.048989705,-0.013530502,0,-0.013530502,-0.04770153,-0.190946386,0.017309881,0.074158418,-0.069025759,-0.166353664,-0.113264614,-0.093238575,-0.037774307,-0.116421803,-0.123882576,-0.079184323,0
company09,-0.022837911,-4.51E-05,-0.252176273,-0.824140677,0.047429935,0.047429935,0,-0.674400715,-0.598720329,-0.054927851,-0.013530502,0,-0.013530502,-0.230348599,-0.150662338,0.007127598,-0.34960397,-0.069025759,-0.166353664,0.138434528,-0.093238575,-0.037774307,-0.116421803,-0.123882576,-0.079184323,0
company10,0.003262559,1.24E-05,-0.64013977,-0.242394317,-0.020327115,-0.020327115,0,0.366474987,-0.517655681,-0.084618581,-0.013530502,0,-0.013530502,0.020343696,0.022559067,0.027492164,-0.34960397,-0.069025759,-0.166353664,-0.113264614,-0.093238575,-0.037774307,0.049895059,-0.123882576,-0.079184323,0
